username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
Iomegaman|2018-06-18 01:58|0|0|"The USA outspends the next 10 countries COMBINED in military spending by at least 60%...if you think that is anorexic let me show you the budget."||||"1008499260155879424"|https://twitter.com/Iomegaman/status/1008499260155879424
soulUtionsTim|2018-06-18 01:53|0|0|"Refugee resettlement is already in the budget & has been, plus a lot of donations & volunteers. There r plenty of social workers who get paid shit but love their work. There r 1000s of vacant housing properties, 10,000s of job opportunities & plenty of schools. They pay taxes -->"||||"1008497850236321797"|https://twitter.com/soulUtionsTim/status/1008497850236321797
mavs2011champs0|2018-06-18 01:45|0|0|"so answer me this... how does this country make $ especially how do make more than what we spend on our budget every yr when we lose $ in basically everything we trade? So how does this country make more $ than we spend?"||||"1008495932265127938"|https://twitter.com/mavs2011champs0/status/1008495932265127938
MiMiCooper214|2018-06-18 01:23|0|0|"If our Judicial System actually worked, the Federal budget would have to be increased to allow for the huge number of Orange jumpsuits that would have to be purchased. President Trump could negotiate a good deal from the manufacture."||||"1008490378943717376"|https://twitter.com/MiMiCooper214/status/1008490378943717376
CarlNyberg312|2018-06-18 00:56|0|1|"J.B. Pritzker's lies about Blagojevich are minor compared to your lies about the State of Illinois budget. And it's not like you've been a fountain of truth on Donald Trump."||||"1008483641398263808"|https://twitter.com/CarlNyberg312/status/1008483641398263808
MilitaryRosary|2018-06-18 00:53|0|0|"if Trump refuses to sign budget bills, we would not get a budget unless the Senate overrides the veto. which would mean dems would have to come to the table. I would NOT be surprised if that might be @ realDonaldTrump 's plan. FORCE them to work together. https://twitter.com/politico/status/1008480676511969287 …"||@||"1008482707146407936"|https://twitter.com/MilitaryRosary/status/1008482707146407936
stadis|2018-06-18 00:52|0|0|"Yes, having a fully manned military is expensive. However the cost of running a training exercise of those resources we have already paid for is both cheap and the only thing that makes them effective. Don't like the cost, cut the budget. Cutting training is merely stupid."||||"1008482629518282752"|https://twitter.com/stadis/status/1008482629518282752
mjjordan2001|2018-06-18 00:50|0|0|"You are holding these children HOSTAGE. All for your $32 BILLION wall. GOP says they'll pass legislation making sure families are NEVER separated, IF the $32 BILLION wall budget is passed. YOU and your GOP are messed up in the head and are TERRORISTS against America and Humanity!"||||"1008482141288783872"|https://twitter.com/mjjordan2001/status/1008482141288783872
Troll_Haeta|2018-06-18 00:25|0|0|"That's so great to hear that the wealthy have never been in a better position to give back to the nation and workers who's resources they use to achieve such heights. Never a better time to provide education and apprenticeship grants, health care for all, fix budget - oh, right."||||"1008475840835776513"|https://twitter.com/Troll_Haeta/status/1008475840835776513
Ianmcpherson22|2018-06-18 00:23|0|0|"Ah the olde dishonest incomplete ‘budget will balance itself’ quote. You forgot the preamble. The complete quote is ”grow the economy and the budget will balance itself”. So true a strong economy will fix many problems, the budget being one o& them."||||"1008475171865399296"|https://twitter.com/Ianmcpherson22/status/1008475171865399296
