Similarity|Number|Text|Id
0.8902|11|Of course it was Ted Cruz who brought up facebook shutting down the facebook page for Chick-Fil-A Appreciation Day. Why am I not surprised|984475529318461440
0.8777|1|Given the number of times your tweet was retweeted, it appears 7 people will be attending today's Chick-fil-A appreciation day. I hope staff members can keep up with the increased demand.|986633120077135872
0.8699|14|87 million people's private data was leaked and all Ted Cruz is concerned about is that Facebook shut down Chick-fil-a appreciation day" way to focus on the issues Ted"|984199128552038401
0.8692|40|ted cruz really pressed about facebook taking down national chick-fil-a appreciation day|983860198556217344
0.8684|16|Only Ted Cruz would have an issue with Facebook shutting down a Chick-fil-A Appreciation Day" page"|984178704136814592
0.8464|7|“Facebook has initially shut down the ‘Chick-fil-A Appreciation Day’ page... To a great many Americans, that appears to be a pervasive pattern of political bias” What a time to be alive - you couldn’t make this shit up... # ChickfilA # TedCruz # ChickenPoliticspic.twitter.com/Vc9DhGkwTh|984853406014689280
0.8205|21|Don't mess with a man's Spicy Deluxe Sandwich™... Ted Cruz to Zuckerberg - Facebook has initially shut down the Chick-Fil-A Appreciation Day page...To a great many Americans that appears to be a pervasive pattern of political bias.""|984051066504392710
0.8166|0|Chick-fil-a appreciation day is also an e-how page on how to set up false instagram photos.|987221972949131264
0.8104|36|Sen. Ted Cruz grilled Mark Zuckerberg but Cruz did so in a way where he questioned Facebook’s shutting down of pages for Chick-fil-A’s Appreciation Day and multiple Catholic fab pages|983877496910336000
0.803|8|What I want to know is why FB has targeted Chick-fil-A appreciation day pages for elimination. Appreciating Chick-fil-A is a type of speech, some would say the highest form of speech. This is the most important thing I could possibly ask about today." https://www.washingtonpost.com/blogs/compost/wp/2018/04/11/the-zuckerberg-hearings-condensed/ …"|984829151961124865
0.7924|18|Ted Cruz actually complained IN FRONT OF CONGRESS that Facebook blocked the “Chick-fil-a appreciation day” Facebook page|984139864244236288
0.7767|3|This coverage is drawing attention away from the larger scandal exposed by Ted Cruz in the hearing ... Facebook’s suppression of Chick-Fil-a Appreciation Day. That was at least as terrible as the earlier Bowling Green Massacre, but like that, now sadly forgotten.|985665087787687938
0.7685|5|@ tedcruz I enjoyed FB hearing. Surprised about chick-fil-a appreciation day. Didn't find on FB. Went to Chick-fil-a & found I no longer had it as liked or following so I clicked like SURPRISING what popped up as recommend 4u by liking a fast food place. non-bias algorithms pic.twitter.com/ZOaE7845g7|985578261143994368
0.7388|35|Who had Ted Cruz being pissed that the Chick Fil A appreciation day page was suspended on their Facebook/Zuckerberg hearing Bingo card?? @ padamentalist|983878166069547008
